Epoch,Loss with Momentum and Decay,Loss with Momentum,Loss with Decay,Regular Loss
52,5.81449,5.81504,5.81503,5.81318
104,5.70489,5.70477,5.70561,5.70474
156,5.70439,5.70436,5.70531,5.70436
208,5.70391,5.70397,5.70504,5.70399
260,5.70346,5.70359,5.70478,5.70364
312,5.70303,5.70324,5.70452,5.7033
364,5.70262,5.7029,5.70428,5.70297
416,5.70225,5.70256,5.70404,5.70264
468,5.70187,5.70223,5.70381,5.70231
520,5.70151,5.70191,5.7036,5.702
572,5.70115,5.70157,5.70337,5.7017
624,5.70079,5.70125,5.70315,5.7014
676,5.70044,5.70091,5.70293,5.7011
728,5.70007,5.70058,5.70271,5.7008
780,5.6997,5.70023,5.70249,5.7005
832,5.69933,5.69991,5.70227,5.7002
884,5.69895,5.69956,5.70206,5.6999
936,5.69858,5.6992,5.70184,5.69961
988,5.69819,5.69883,5.70163,5.69932
1040,5.69778,5.69845,5.70141,5.699
1092,5.69736,5.69807,5.70119,5.69869
1144,5.69693,5.69766,5.70097,5.69838
1196,5.69652,5.69724,5.70074,5.69806
1248,5.69607,5.6968,5.70051,5.69774
1300,5.69561,5.69635,5.70028,5.69742
1352,5.69516,5.69589,5.70004,5.69709
1404,5.69466,5.69543,5.69978,5.69676
1456,5.69413,5.69492,5.69953,5.69642
1508,5.69361,5.69442,5.69926,5.69608
1560,5.69305,5.69388,5.69899,5.69571
1612,5.69248,5.69332,5.6987,5.6953
1664,5.6919,5.69277,5.69841,5.69492
1716,5.69129,5.69216,5.69811,5.69451
1768,5.69063,5.69154,5.6978,5.69409
1820,5.68995,5.6909,5.69748,5.69364
1872,5.68922,5.69024,5.69715,5.69319
1924,5.68846,5.68956,5.69679,5.69272
1976,5.68767,5.68883,5.69643,5.69223
2028,5.68683,5.68809,5.69604,5.69172
2080,5.68601,5.68725,5.69564,5.69118
2132,5.6851,5.68645,5.69524,5.69064
2184,5.68413,5.68554,5.69483,5.69005
2236,5.68312,5.68458,5.6944,5.68946
2288,5.68201,5.68362,5.69398,5.68882
2340,5.68081,5.68259,5.69353,5.68818
2392,5.67956,5.68149,5.69308,5.68747
2444,5.67818,5.68039,5.69261,5.68677
2496,5.67673,5.6792,5.69214,5.68605
2548,5.67513,5.67793,5.69163,5.68525
2600,5.67346,5.67662,5.69114,5.68446
2652,5.67159,5.67519,5.69058,5.68361
2704,5.66959,5.67364,5.69002,5.68267
2756,5.66731,5.67206,5.6894,5.68178
2808,5.6648,5.67035,5.6888,5.68082
2860,5.66204,5.66853,5.68811,5.67977
2912,5.65888,5.66665,5.68743,5.67869
2964,5.65541,5.66462,5.68673,5.67754
3016,5.65118,5.66257,5.68594,5.67635
3068,5.64641,5.66021,5.68515,5.6751
3120,5.64094,5.65771,5.68428,5.67369
3172,5.63467,5.65485,5.68333,5.67222
3224,5.62702,5.65173,5.68238,5.67056
3276,5.61765,5.64826,5.68132,5.6687
3328,5.6055,5.64441,5.68025,5.66675
3380,5.59007,5.64009,5.67907,5.6646
3432,5.56837,5.63534,5.67786,5.66234
3484,5.5365,5.62955,5.67654,5.65978
3536,5.49137,5.62299,5.67512,5.65697
3588,5.42928,5.61503,5.67356,5.65379
3640,5.36517,5.60535,5.67192,5.65006
3692,5.3095,5.5933,5.67017,5.64603
3744,5.25848,5.57803,5.66818,5.64133
3796,5.20773,5.55774,5.66601,5.6358
3848,5.13995,5.52973,5.66366,5.62891
3900,5.06505,5.48952,5.66101,5.62056
3952,4.99526,5.42691,5.65806,5.6094
4004,4.895,5.33528,5.65453,5.59525
4056,4.80648,5.22564,5.65064,5.57441
4108,4.72308,5.10161,5.6462,5.54687
4160,4.6798,4.99492,5.64118,5.50625
4212,4.57084,4.89576,5.63549,5.45711
4264,4.46776,4.79682,5.629,5.41009
4316,4.33033,4.73358,5.62128,5.37493
4368,4.2118,4.57031,5.61196,5.34578
4420,4.23235,4.4319,5.60043,5.31555
4472,4.08919,4.3513,5.58568,5.28777
4524,3.88766,4.31288,5.5656,5.24926
4576,3.69427,4.15955,5.53795,5.20426
4628,3.69486,4.18255,5.49819,5.14062
4680,3.50186,4.03658,5.43854,5.04658
4732,3.74096,4.10808,5.34868,4.92062
4784,3.68544,4.25376,5.23403,4.7601
4836,3.37919,3.78975,5.10302,4.60024
4888,3.3753,3.63905,4.96787,4.48751
4940,3.42063,3.54471,4.86889,4.35537
4992,3.37216,3.92127,4.74083,4.24124
5044,3.07344,3.81174,4.73096,4.26941
5096,2.89555,3.54725,4.65639,4.03656
5148,2.88529,3.40943,4.55064,4.04651
5200,2.6694,3.41952,4.49588,3.87517
5252,2.22454,3.54972,4.1237,3.919
5304,1.69326,2.87641,3.98268,3.87189
5356,1.43048,3.09939,3.92512,3.70737
5408,1.14661,3.19823,3.89307,3.55329
5460,0.990041,3.2683,3.85402,3.56386
5512,0.748485,3.22526,3.88298,3.33216
5564,0.660806,3.19863,3.90732,3.28747
5616,0.569831,2.74936,3.75032,3.37892
5668,1.06795,2.66588,3.84805,3.24579
5720,1.17538,2.59493,3.63796,3.15433
5772,0.898025,2.82306,3.66276,3.37885
5824,1.66316,3.22533,3.76,3.30496
5876,2.45128,2.5796,3.61224,3.27349
5928,1.14516,2.71752,3.63487,3.47396
5980,1.58094,2.12073,3.73299,3.02267
6032,1.57009,3.07602,3.57022,3.1443
6084,1.19727,2.9268,3.72304,3.17736
6136,2.0741,2.6992,3.39334,2.97932
6188,1.38515,2.52856,3.36732,2.96174
6240,0.883766,2.44981,3.47164,3.28425
6292,0.948695,2.3992,3.13141,2.72684
6344,1.17861,1.89741,3.48739,2.69994
6396,0.98241,2.09112,3.0229,2.56952
6448,0.508664,2.66919,3.19488,2.85154
6500,0.382925,2.34962,3.10675,2.89003
6552,0.577715,2.50916,3.10424,2.76621
6604,0.321494,2.23343,3.09666,2.76104
6656,0.420545,2.42998,2.98188,2.82382
6708,0.249003,2.42864,2.95024,2.80326
6760,0.227597,2.11763,2.62165,2.59951
6812,0.130632,2.13328,2.83064,2.76006
6864,0.117039,2.9421,2.83791,2.61777
6916,0.107151,1.31672,2.65284,3.16445
6968,0.102638,1.19024,2.56908,3.16542
7020,0.0987592,2.24628,2.3298,2.69127
7072,0.0955708,2.07695,2.21608,2.3965
7124,0.0926925,2.47282,2.45904,2.577
7176,0.0901642,2.53149,2.64804,2.98165
7228,0.0879892,1.90423,2.06519,2.41024
7280,0.0860432,2.17107,2.04318,3.06339
7332,0.0843241,1.95256,2.28012,2.67334
7384,0.082741,1.98631,1.75845,2.63678
7436,0.0813178,2.28102,1.69075,2.91162
7488,0.0799824,2.57341,2.49648,2.77264
7540,0.0787356,2.06258,2.43569,2.14172
7592,0.0775872,1.42461,1.86056,2.61434
7644,0.0762402,1.01055,1.64821,2.11892
7696,0.0755984,1.02575,2.1041,2.25258
7748,0.0744338,2.17102,2.47454,2.77477
7800,0.073856,1.4767,1.20703,2.11448
7852,0.0727467,2.28634,1.09518,1.88279
7904,0.0722667,2.21198,2.00647,2.51527
7956,0.0712773,1.40918,2.17175,1.73514
8008,0.0705659,1.07659,1.40308,2.47738
8060,0.0703097,1.0944,1.78743,2.38857
8112,0.0693824,2.84364,1.63821,1.95577
8164,0.0689938,3.11206,1.41424,2.4442
8216,0.0680711,3.09873,2.00964,2.16693
8268,0.0676148,1.91301,1.73174,2.84428
8320,0.0674497,2.27749,2.20408,2.79023
8372,0.0665667,1.46711,1.5646,1.79344
8424,0.0663995,2.07833,1.1481,2.03729
